Ã¿´ÎÊ¹ÓÃ×îÓÅarm¸üĞÂA£¬b»¹ÊÇÊ¹ÓÃÏëÓ®µÄrewardÀ´¸üĞÂ£¬½á¹ûºÜ²î
New Run at  12/23/2016 10:11:40
, Time, RandomReward; LinUCBReward; 
data,1264978800000,32;852;42
data,1251756000000,32;15871;42
data,1298934000000,32;9679;42
data,1207000800000,32;1962;42
data,1272664800000,32;12067;42
data,1167606000000,32;4896;42
data,1193871600000,32;13407;42
data,1285884000000,32;8880;42
data,1207000800000,32;5904;42
data,1180648800000,32;10473;42
data,1280613600000,33;3415;42
data,1188597600000,33;9;42
data,1272664800000,33;944;43
data,1304606894617,33;9403;43
data,1277935200000,33;10500;43
data,1228086000000,33;7133;43
data,1304601315641,33;5319;43
data,1277935200000,33;14454;43
data,1130799600000,33;10046;43
data,1304698110993,33;15955;43
data,1212271200000,33;18084;43
data,1285884000000,33;7855;43
data,1220220000000,33;15815;43
data,1291158000000,33;5608;43
data,1146434400000,33;2481;44
data,1298934000000,33;2574;44
data,1136070000000,33;14454;44
data,1217541600000,33;1514;44
data,1201820400000,33;1919;44
data,1296514800000,33;8044;44
data,1246399200000,33;2121;44
data,1272664800000,33;3592;44
data,1291158000000,33;11739;44
data,1241128800000,33;4670;44
data,1291158000000,33;9063;44
data,1251756000000,33;17308;44
data,1272664800000,33;16049;44
data,1272664800000,33;6804;44
data,1217541600000,33;10501;44
data,1257030000000,33;416;44
data,1272664800000,33;8905;44
data,1241128800000,33;1444;44
data,1283292000000,33;10806;44
data,1262300400000,33;14144;44
data,1277935200000,33;6140;44
data,1217541600000,33;499;44
data,1296514800000,33;15935;44
data,1233442800000,33;6559;44
data,1249077600000,33;6958;44
data,1214863200000,33;15575;44
data,1251756000000,33;796;44
data,1304677297144,33;12684;44
data,1275343200000,33;16205;44
data,1288566000000,33;1186;44
data,1207000800000,33;7802;44
data,1304671827260,33;15591;44
data,1304672841819,33;12292;44
data,1235862000000,33;5465;44
data,1267398000000,33;16502;44
data,1251756000000,33;13532;44
data,1262300400000,33;6009;44
data,1188597600000,33;14852;44
data,1280613600000,33;1239;45
data,1285884000000,33;15055;45
data,1214863200000,33;6042;45
data,1199142000000,33;12761;45
data,1243807200000,33;2717;45
data,1304600809878,33;14628;45
data,1188597600000,33;11547;45
data,1275343200000,33;7360;45
data,1251756000000,33;17726;45
data,1283292000000,33;3656;45
data,1283292000000,33;12541;45
data,1180648800000,33;9265;45
data,1241128800000,33;7347;45
data,1277935200000,33;5503;45
data,1254348000000,33;11516;45
data,1272664800000,33;5410;45
data,1246399200000,33;10486;45
data,1154383200000,33;2434;45
data,1264978800000,33;11055;45
data,1249077600000,33;10473;45
data,1296514800000,33;1950;45
data,1270072800000,33;11481;45
data,1204326000000,33;5924;45
data,1146434400000,33;11183;45
data,1251756000000,33;2509;45
data,1246399200000,33;16049;45
data,1272664800000,33;4549;45
data,1228086000000,33;1097;45
data,1162335600000,33;15422;45
data,1193871600000,33;16885;45
data,1188597600000,33;11054;45
data,1291158000000,33;11481;45
data,1143842400000,33;13638;45
data,1217541600000,33;16582;45
data,1214863200000,33;15055;45
data,1296514800000,33;16823;45
data,1272664800000,33;6560;45
data,1228086000000,33;5422;45
data,1151704800000,33;16708;45
data,1291158000000,33;1570;45
data,1233442800000,33;9475;45
data,1254348000000,33;15192;45
data,1199142000000,34;1116;45
data,1130799600000,34;3386;45
